"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Homepage","Navigation language","0","0","3","0","0"
"","Locale Isolation","Navigation language contamination","0","0","3","0","0"
"","Mobile Viewport","Currency symbol on mobile","0","0","3","0","0"
"","Footer","Cookie consent language","0","0","3","0","0"
"","Product Page","Dimensions unit","0","0","3","0","0"
"","Product Page","Price format","0","0","3","0","0"
"","Homepage","HTML language attribute","0","0","3","0","0"
"","Product Page","Currency symbol","0","0","3","0","0"
"","Product Page","Add to cart button language","0","0","3","0","0"
"","Footer","Footer copyright text","0","0","3","0","0"
"","Search Results","Search results language","0","0","3","0","0"
"","Locale Isolation","HTML lang contamination","0","0","3","0","0"
"","Search Results","Search result price currency","0","0","3","0","0"
"","Locale Isolation","Currency contamination","0","0","3","0","0"
"","Mobile Viewport","HTML lang on mobile","0","0","3","0","0"
