"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 31 15:43:26 UTC 2026","Mon Aug 31 15:43:26 UTC 2026","9","tests","test_homepage","TestHomepage","","","test_navigation_language[us]","TC-HP-02: Navigation bar contains the expected locale nav item."
"passed","Mon Aug 31 15:43:51 UTC 2026","Mon Aug 31 15:43:51 UTC 2026","68","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_nav_language_absent[se]","TC-NL-03: Navigation must not contain any other locale's nav item text."
"passed","Mon Aug 31 15:44:06 UTC 2026","Mon Aug 31 15:44:10 UTC 2026","3876","tests","test_mobile","TestMobileViewport","","","test_currency_symbol_correct_on_mobile[de]","TC-MB-02: Currency symbol is correct on a product page viewed on mobile."
"passed","Mon Aug 31 15:43:49 UTC 2026","Mon Aug 31 15:43:49 UTC 2026","42","tests","test_locale_isolation","TestLocaleIsolation","","","test_wrong_nav_language_absent[us]","TC-NL-03: Navigation must not contain any other locale's nav item text."
"passed","Mon Aug 31 15:43:07 UTC 2026","Mon Aug 31 15:43:10 UTC 2026","3873","tests","test_footer","TestFooter","","","test_cookie_consent_language[us]","TC-FT-02: Cookie consent button text matches locale before cookies accepted."
"passed","Mon Aug 31 15:44:59 UTC 2026","Mon Aug 31 15:45:01 UTC 2026","1935","tests","test_product_page","TestProductPage","","","test_dimensions_in_correct_units[se]","TC-PP-03: Product dimensions text contains the locale unit."
"passed","Mon Aug 31 15:44:40 UTC 2026","Mon Aug 31 15:44:43 UTC 2026","2370","tests","test_product_page","TestProductPage","","","test_price_format_correct[us]","TC-PP-02: Price uses correct decimal separator and symbol position."
"passed","Mon Aug 31 15:43:14 UTC 2026","Mon Aug 31 15:43:14 UTC 2026","6","tests","test_homepage","TestHomepage","","","test_html_lang_matches_locale[de]","TC-HP-01: HTML lang attribute matches the expected locale value."
"passed","Mon Aug 31 15:44:10 UTC 2026","Mon Aug 31 15:44:15 UTC 2026","5130","tests","test_mobile","TestMobileViewport","","","test_currency_symbol_correct_on_mobile[us]","TC-MB-02: Currency symbol is correct on a product page viewed on mobile."
"passed","Mon Aug 31 15:43:20 UTC 2026","Mon Aug 31 15:43:20 UTC 2026","3","tests","test_homepage","TestHomepage","","","test_html_lang_matches_locale[se]","TC-HP-01: HTML lang attribute matches the expected locale value."
"passed","Mon Aug 31 15:44:27 UTC 2026","Mon Aug 31 15:44:29 UTC 2026","1670","tests","test_product_page","TestProductPage","","","test_currency_symbol_correct[us]","TC-PP-01: Currency symbol in price matches locale config."
"passed","Mon Aug 31 15:44:55 UTC 2026","Mon Aug 31 15:44:57 UTC 2026","2073","tests","test_product_page","TestProductPage","","","test_dimensions_in_correct_units[us]","TC-PP-03: Product dimensions text contains the locale unit."
"passed","Mon Aug 31 15:45:03 UTC 2026","Mon Aug 31 15:45:06 UTC 2026","2715","tests","test_product_page","TestProductPage","","","test_add_to_cart_button_language[de]","TC-PP-04: Add-to-cart button text matches locale config."
"passed","Mon Aug 31 15:43:04 UTC 2026","Mon Aug 31 15:43:04 UTC 2026","3","tests","test_footer","TestFooter","","","test_footer_text_present[se]","TC-FT-01: Footer contains IKEA copyright notice on all locales."
